Âmbito Geográfico;Anos;2002;2009;2010;2011;2012;2013;2002;2009;2010;2011;2012;2013;2002;2009;2010;2011;2012;2013
Município;Batalha;561,3;748,2;757,9;755,4;771,8;753,9;619,5;813,9;831,5;828,6;843,7;833,0;483,8;652,0;654,1;648,0;668,8;642,9
Município;Castanheira de Pêra;513,5;643,3;679,3;701,8;800,3;787,9;555,1;719,1;775,6;738,6;786,5;759,3;465,1;587,7;606,0;677,6;808,6;805,4
Município;Figueiró dos Vinhos;526,6;628,6;654,9;680,6;681,3;687,4;528,1;637,7;664,5;698,7;703,3;714,4;523,6;617,8;645,4;660,7;658,9;664,5
Município;Leiria;633,2;803,0;815,8;819,1;827,4;821,2;685,0;870,1;896,4;903,1;911,2;904,3;543,2;704,6;703,7;706,2;714,9;708,9
Município;Marinha Grande;736,8;887,0;914,1;933,1;944,7;950,6;833,1;998,5;1 028,1;1 045,3;1 057,8;1 053,6;572,5;722,1;737,6;751,9;761,1;774,5
Município;Pedrógão Grande;512,1;634,3;662,7;668,7;636,8;659,7;519,7;626,4;675,3;675,4;651,8;665,0;502,3;645,3;647,4;660,3;616,7;652,8
Município;Pombal;556,4;730,3;742,6;753,1;749,7;745,3;599,6;766,8;782,9;796,8;799,8;789,0;486,9;669,4;680,5;685,3;678,8;682,0
Município;Porto de Mós;540,2;732,6;774,6;784,3;771,9;766,0;585,2;778,3;823,7;836,8;825,2;822,4;461,6;668,1;695,9;698,4;690,5;685,5
NUTS III;Viseu Dão Lafões;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
Município;Aguiar da Beira;461,0;591,8;602,1;598,5;600,9;604,0;471,6;631,5;636,8;616,5;623,3;621,4;448,8;544,3;561,9;576,6;576,5;586,9
Município;Carregal do Sal;506,7;651,9;708,2;712,6;705,3;703,2;522,2;719,8;768,9;764,5;757,1;759,8;479,8;580,7;639,8;648,4;645,3;644,1
Município;Castro Daire;459,7;623,4;622,5;636,3;631,6;638,6;478,4;634,5;644,6;657,0;653,9;658,7;421,1;607,4;585,7;603,0;597,2;607,3
Município;Mangualde;569,2;707,5;724,5;736,1;736,7;738,6;619,5;750,2;769,0;777,4;781,7;784,4;466,8;619,3;628,1;647,0;642,1;645,1
Município;Nelas;547,9;774,3;787,1;788,7;802,5;804,0;619,0;822,3;859,9;854,2;878,4;890,4;464,4;693,0;683,4;690,9;699,9;687,9
Município;Oliveira de Frades;538,8;849,3;901,3;936,2;953,8;865,9;580,5;932,1;1 000,1;1 040,8;1 065,2;935,2;459,4;697,8;711,2;736,9;736,7;730,3
Município;Penalva do Castelo;487,0;633,3;645,7;655,4;646,9;639,0;493,4;646,0;656,4;655,1;649,6;653,4;472,5;609,2;623,7;655,8;642,3;615,1
Município;Santa Comba Dão;596,4;707,5;729,6;734,4;723,7;705,1;656,4;779,0;803,3;799,8;780,9;769,1;516,3;628,0;644,7;657,4;665,0;643,9
Município;São Pedro do Sul;482,9;610,5;617,2;624,3;632,0;630,7;507,8;644,8;658,1;658,4;671,7;676,3;455,0;583,7;582,4;594,7;598,0;593,4
Município;Sátão;452,5;588,6;596,1;591,9;596,2;597,4;458,8;600,4;608,8;598,9;613,8;610,7;441,2;570,5;577,9;581,5;575,5;581,3
Município;Tondela;565,2;733,2;767,9;769,2;775,2;777,8;618,1;809,9;847,7;848,1;855,8;856,6;484,0;643,7;676,1;680,2;686,6;692,9
Município;Vila Nova de Paiva;542,2;615,6;596,7;620,1;611,1;612,3;586,3;627,0;641,3;649,4;615,1;619,3;482,8;603,9;544,9;582,6;606,2;604,4
Município;Viseu;561,7;724,6;744,4;751,9;759,2;763,3;594,5;761,2;779,8;783,4;795,1;795,2;508,1;677,5;698,1;710,2;712,5;722,3
